fieldwork_end,pollster,scenario,list,seats,below_pct
2025-11-20,Stat-Net Research Institute,baseline,Balad+Hadash+Ra'am+Ta'al,16.0,
2025-06-16,Stat-Net Research Institute,baseline,Ra'am,4.0,
2025-06-16,Stat-Net Research Institute,baseline,Hadash+Ta'al,4.0,
2025-06-16,Stat-Net Research Institute,baseline,Balad,,3.0
2025-06-16,Stat-Net Research Institute,baseline,Dems,1.0,
2025-06-16,Stat-Net Research Institute,baseline,Yesh Atid,0.0,
2025-06-16,Stat-Net Research Institute,baseline,National Unity,0.0,
2025-06-16,Stat-Net Research Institute,baseline,Likud,0.0,
2025-02-17,Stat-Net Research Institute,baseline,Ra'am,4.0,
2025-02-17,Stat-Net Research Institute,baseline,Hadash+Ta'al,5.0,
2025-02-17,Stat-Net Research Institute,baseline,Balad,,2.6
2025-02-17,Stat-Net Research Institute,baseline,Ra'am,4.0,
2025-02-17,Stat-Net Research Institute,baseline,Ta'al,,3.3
2025-02-17,Stat-Net Research Institute,baseline,Hadash,,2.4
2025-02-17,Stat-Net Research Institute,baseline,Balad,,2.5
2025-02-17,Stat-Net Research Institute,baseline,Ra'am+Ta'al,7.0,
2025-02-17,Stat-Net Research Institute,baseline,Balad+Hadash,5.0,
2025-02-17,Stat-Net Research Institute,baseline,Ra'am,4.0,
2025-02-17,Stat-Net Research Institute,baseline,Balad+Hadash+Ta'al,8.0,
2025-02-17,Stat-Net Research Institute,baseline,Balad+Hadash+Ra'am+Ta'al,13.0,
2024-12-08,Stat-Net Research Institute,baseline,Ra'am,5.0,
2024-12-08,Stat-Net Research Institute,baseline,Hadash+Ta'al,4.0,
2024-06-11,Stat-Net Research Institute,baseline,Ra'am,4.0,
2024-06-11,Stat-Net Research Institute,baseline,Hadash+Ta'al,5.0,
2024-06-11,Stat-Net Research Institute,baseline,Balad,,3.5
