pollster,unit,raw_mean,n_polls,house_effect,cycle
Geocartography,Arab parties,-0.77,2,-0.08,2021
Kantar,Arab parties,-0.08,11,-0.03,2021
Maagar Mochot,Arab parties,0.92,23,0.51,2021
Midgam,Arab parties,-0.15,30,-0.09,2021
Panels Politics,Arab parties,-0.46,49,-0.34,2021
Smith Consulting,Arab parties,0.51,3,0.07,2021
Camil Fuchs,Netanyahu bloc,3.06,1,0.8,2020
Direct Polls,Netanyahu bloc,2.08,6,1.42,2020
Kantar,Netanyahu bloc,0.18,13,0.14,2020
Maagar Mochot,Netanyahu bloc,-0.35,19,-0.31,2020
Midgam,Netanyahu bloc,0.47,29,0.43,2020
Midgam Project,Netanyahu bloc,-1.59,12,-1.29,2020
Panels Politics,Netanyahu bloc,1.57,17,1.35,2020
Smith Consulting,Netanyahu bloc,1.02,7,0.73,2020
Camil Fuchs,Anti-Netanyahu bloc,-1.59,1,-0.26,2020
Direct Polls,Anti-Netanyahu bloc,-0.79,6,-0.43,2020
Kantar,Anti-Netanyahu bloc,-0.09,13,-0.06,2020
Maagar Mochot,Anti-Netanyahu bloc,-0.48,19,-0.38,2020
Midgam,Anti-Netanyahu bloc,0.13,29,0.11,2020
Midgam Project,Anti-Netanyahu bloc,1.42,12,1.0,2020
Panels Politics,Anti-Netanyahu bloc,-1.96,17,-1.52,2020
Smith Consulting,Anti-Netanyahu bloc,-0.7,7,-0.41,2020
Camil Fuchs,Arab parties,-0.08,1,-0.0,2020
Direct Polls,Arab parties,-0.36,6,-0.08,2020
Kantar,Arab parties,0.08,13,0.03,2020
Maagar Mochot,Arab parties,0.51,19,0.24,2020
Midgam,Arab parties,-0.26,29,-0.15,2020
Midgam Project,Arab parties,0.17,12,0.06,2020
Panels Politics,Arab parties,0.34,17,0.15,2020
Smith Consulting,Arab parties,-0.2,7,-0.05,2020
Dialog,Netanyahu bloc,-2.06,1,-1.07,2019s
Direct Polls,Netanyahu bloc,0.09,4,0.07,2019s
Kantar,Netanyahu bloc,-0.5,9,-0.45,2019s
Maagar Mochot,Netanyahu bloc,1.26,9,1.14,2019s
Midgam,Netanyahu bloc,-0.25,16,-0.24,2019s
Midgam Project,Netanyahu bloc,-2.32,11,-2.14,2019s
Midgam Project & StatNet,Netanyahu bloc,-2.84,1,-1.47,2019s
Panels Politics,Netanyahu bloc,2.95,4,2.4,2019s
Shvakim Panorama,Netanyahu bloc,2.02,1,1.04,2019s
Smith Consulting,Netanyahu bloc,0.6,11,0.55,2019s
StatNet,Netanyahu bloc,-2.45,1,-1.27,2019s
Dialog,Anti-Netanyahu bloc,1.95,1,0.34,2019s
Direct Polls,Anti-Netanyahu bloc,0.55,4,0.25,2019s
Kantar,Anti-Netanyahu bloc,0.5,9,0.33,2019s
Maagar Mochot,Anti-Netanyahu bloc,-1.12,9,-0.74,2019s
Midgam,Anti-Netanyahu bloc,0.16,16,0.12,2019s
Midgam Project,Anti-Netanyahu bloc,1.34,11,0.94,2019s
Midgam Project & StatNet,Anti-Netanyahu bloc,1.08,1,0.19,2019s
Panels Politics,Anti-Netanyahu bloc,-2.19,4,-1.0,2019s
Shvakim Panorama,Anti-Netanyahu bloc,-0.34,1,-0.06,2019s
Smith Consulting,Anti-Netanyahu bloc,-0.21,11,-0.15,2019s
StatNet,Anti-Netanyahu bloc,0.22,1,0.04,2019s
Dialog,Arab parties,0.34,1,0.08,2019s
Direct Polls,Arab parties,-0.83,4,-0.48,2019s
Kantar,Arab parties,-0.05,9,-0.04,2019s
Maagar Mochot,Arab parties,0.63,9,0.47,2019s
Midgam,Arab parties,-0.13,16,-0.11,2019s
Midgam Project,Arab parties,0.47,11,0.37,2019s
Midgam Project & StatNet,Arab parties,1.76,1,0.44,2019s
Panels Politics,Arab parties,-1.22,4,-0.7,2019s
Shvakim Panorama,Arab parties,-0.15,1,-0.04,2019s
Smith Consulting,Arab parties,-0.03,11,-0.02,2019s
StatNet,Arab parties,-1.76,1,-0.44,2019s
Dialog,Netanyahu bloc,0.31,3,0.07,2019a
Direct Polls,Netanyahu bloc,1.97,13,1.13,2019a
Geocartography,Netanyahu bloc,2.8,10,1.43,2019a
Maagar Mochot,Netanyahu bloc,0.69,14,0.41,2019a
Midgam,Netanyahu bloc,-2.19,35,-1.71,2019a
Midgam Project,Netanyahu bloc,-1.6,22,-1.11,2019a
Miskar,Netanyahu bloc,6.19,3,1.47,2019a
Number 10 Strategies,Netanyahu bloc,-1.69,1,-0.16,2019a
Panels Politics,Netanyahu bloc,0.14,33,0.11,2019a
Sarid,Netanyahu bloc,-0.1,2,-0.02,2019a
Shvakim Panorama,Netanyahu bloc,-2.84,1,-0.27,2019a
Smith Consulting,Netanyahu bloc,-0.95,13,-0.55,2019a
StatNet,Netanyahu bloc,-0.46,1,-0.04,2019a
TNS,Netanyahu bloc,-1.27,6,-0.49,2019a
Teleseker,Netanyahu bloc,-0.84,2,-0.14,2019a
Dialog,Anti-Netanyahu bloc,-2.54,3,-0.04,2019a
Direct Polls,Anti-Netanyahu bloc,1.66,13,0.11,2019a
Geocartography,Anti-Netanyahu bloc,-2.29,10,-0.12,2019a
Maagar Mochot,Anti-Netanyahu bloc,1.12,14,0.08,2019a
Midgam,Anti-Netanyahu bloc,1.5,35,0.24,2019a
Midgam Project,Anti-Netanyahu bloc,1.27,22,0.14,2019a
Miskar,Anti-Netanyahu bloc,-5.05,3,-0.08,2019a
Number 10 Strategies,Anti-Netanyahu bloc,2.5,1,0.01,2019a
Panels Politics,Anti-Netanyahu bloc,1.2,33,0.18,2019a
Sarid,Anti-Netanyahu bloc,-0.46,2,-0.0,2019a
Shvakim Panorama,Anti-Netanyahu bloc,1.14,1,0.01,2019a
Smith Consulting,Anti-Netanyahu bloc,0.01,13,0.0,2019a
StatNet,Anti-Netanyahu bloc,-0.18,1,-0.0,2019a
TNS,Anti-Netanyahu bloc,-2.24,6,-0.07,2019a
Teleseker,Anti-Netanyahu bloc,1.93,2,0.02,2019a
Dialog,Arab parties,0.43,3,0.03,2019a
Direct Polls,Arab parties,-0.05,13,-0.01,2019a
Geocartography,Arab parties,-0.6,10,-0.11,2019a
Maagar Mochot,Arab parties,-2.68,14,-0.67,2019a
Midgam,Arab parties,0.33,35,0.15,2019a
Midgam Project,Arab parties,0.56,22,0.19,2019a
Miskar,Arab parties,1.39,3,0.09,2019a
Number 10 Strategies,Arab parties,-0.2,1,-0.0,2019a
Panels Politics,Arab parties,-1.04,33,-0.46,2019a
Sarid,Arab parties,0.44,2,0.02,2019a
Shvakim Panorama,Arab parties,-0.26,1,-0.01,2019a
Smith Consulting,Arab parties,0.35,13,0.08,2019a
StatNet,Arab parties,-0.21,1,-0.0,2019a
TNS,Arab parties,0.95,6,0.12,2019a
Teleseker,Arab parties,-0.0,2,-0.0,2019a
