pollster,unit,raw_mean,n_polls,house_effect,list
Midgam Project,5,-1.0,10,-0.98,Shas
Tatika,5,0.58,13,0.57,Shas
Direct Polls,6,-4.72,9,-4.69,Together
Filber,6,-6.5,12,-6.46,Together
Kantar,6,1.64,17,1.63,Together
Lazar,6,3.67,11,3.65,Together
Maagar Mochot,6,3.2,3,3.13,Together
Midgam,6,2.59,15,2.58,Together
Midgam Project,6,1.02,10,1.02,Together
Tatika,6,2.17,13,2.16,Together
Direct Polls,7,0.35,9,0.28,United Torah Judaism
Filber,7,-0.3,12,-0.26,United Torah Judaism
Kantar,7,0.0,17,0.0,United Torah Judaism
Lazar,7,-0.15,11,-0.12,United Torah Judaism
Maagar Mochot,7,-0.6,3,-0.34,United Torah Judaism
Midgam,7,-0.14,15,-0.12,United Torah Judaism
Midgam Project,7,0.26,10,0.21,United Torah Judaism
Tatika,7,0.22,13,0.19,United Torah Judaism
Direct Polls,8,-1.25,9,-1.05,Yashar
Filber,8,-1.19,12,-1.05,Yashar
Kantar,8,0.1,17,0.09,Yashar
Lazar,8,0.18,11,0.15,Yashar
Maagar Mochot,8,-0.54,3,-0.35,Yashar
Midgam,8,0.81,15,0.73,Yashar
Midgam Project,8,-0.24,10,-0.2,Yashar
Tatika,8,1.34,13,1.19,Yashar
Direct Polls,9,-0.52,9,-0.51,Yisrael Beytenu
Filber,9,-1.67,12,-1.62,Yisrael Beytenu
Kantar,9,-0.13,17,-0.13,Yisrael Beytenu
Lazar,9,0.69,11,0.67,Yisrael Beytenu
Maagar Mochot,9,-0.46,3,-0.41,Yisrael Beytenu
Midgam,9,-0.2,15,-0.2,Yisrael Beytenu
Midgam Project,9,1.05,10,1.01,Yisrael Beytenu
Tatika,9,1.2,13,1.18,Yisrael Beytenu
Direct Polls,10,-0.86,9,-0.47,Zionist Home – The Reservists
Filber,10,-0.83,12,-0.52,Zionist Home – The Reservists
Kantar,10,0.47,17,0.33,Zionist Home – The Reservists
Lazar,10,0.66,11,0.4,Zionist Home – The Reservists
Maagar Mochot,10,0.36,3,0.11,Zionist Home – The Reservists
Midgam,10,-0.03,15,-0.02,Zionist Home – The Reservists
Midgam Project,10,0.91,10,0.52,Zionist Home – The Reservists
Tatika,10,-0.45,13,-0.29,Zionist Home – The Reservists
Direct Polls,11,1.37,9,1.21,Balad + Hadash-Ta'al + Ra'am
Filber,11,0.09,12,0.08,Balad + Hadash-Ta'al + Ra'am
Kantar,11,0.29,17,0.27,Balad + Hadash-Ta'al + Ra'am
Lazar,11,-0.09,11,-0.08,Balad + Hadash-Ta'al + Ra'am
Maagar Mochot,11,-1.74,3,-1.24,Balad + Hadash-Ta'al + Ra'am
Midgam,11,-0.38,15,-0.36,Balad + Hadash-Ta'al + Ra'am
Midgam Project,11,-0.15,10,-0.13,Balad + Hadash-Ta'al + Ra'am
Tatika,11,0.04,13,0.04,Balad + Hadash-Ta'al + Ra'am
Direct Polls,12,0.0,9,0.0,Unity
Filber,12,0.0,12,0.0,Unity
Kantar,12,0.0,17,0.0,Unity
Lazar,12,0.0,11,0.0,Unity
Maagar Mochot,12,0.0,3,0.0,Unity
Midgam,12,0.0,15,0.0,Unity
Midgam Project,12,0.0,10,0.0,Unity
Tatika,12,0.0,13,0.0,Unity
