ref,pollster,editor_he,publisher_he,fieldwork_end,filed,cec_notes,n_parties_parsed,moe,undecided_pct,initial_sample,n,refused_pct
4075,Lazar,"ד""ר מנחם לזר",עיתון מעריב,2026-08-12,2026-08-16,,12,4.4,16.0,500.0,,
4076,Direct Polls,"דיירקט פולס בע""מ","חדשות המזרח התיכון 24 בע""מ",2026-08-13,2026-08-16,,0,,,,,
4077,Midgam Project & StatNet,שמואל רוזנר,ערוץ 13,2026-08-11,2026-08-17,"התבקשו השלמות - גודל המדגם ההתחלתי, מספר ואחוז האנשים שסירבו או לא התאימו להשתתף בסקר",8,3.9,13.4,,,
4079,Kantar,קנטאר ישראל,"תאגיד השידור כאן , כנפי נשרים 23, ירושלים",2026-08-13,2026-08-17,,15,,39.0,1100.0,,
4080,Midgam,מדגם יעוץ ומחקר,חדשות 12,2026-08-17,2026-08-18,,15,,4.0,500.0,,
4081,Direct Polls,"דיירקט פולס בע""מ","חדשות המזרח התיכון 24 בע""מ",2026-08-18,2026-08-19,,14,4.2,,500.0,,
4085,Filber,שלמה פילבר,ערוץ 14,2026-08-18,2026-08-19,,15,4.6,,550.0,,
4086,Kantar,קנטאר ישראל,"תאגיד השידור כאן , כנפי נשרים 23, ירושלים",2026-08-18,2026-08-20,,13,,41.0,550.0,,
4088,Tatika,טאטיקה מחקרים ומדיה,זמן ישראל,2026-08-19,2026-08-23,,8,4.4,,10000.0,500.0,93.0
4089,Maagar Mochot,מאגר מוחות,ערוץ 16,2026-08-19,2026-08-23,,15,4.2,,550.0,,
4090,Lazar,"ד""ר מנחם לזר",עיתון מעריב,2026-08-19,2026-08-23,,13,4.4,12.0,500.0,,
4091,Kantar,קנטאר ישראל,"עיתון ישראל היום בע""מ, השלושה 2, תל אביב",2026-08-19,2026-08-23,,14,,25.0,550.0,,
4094,Midgam Project & StatNet,שמואל רוזנר,ערוץ 13,2026-08-18,2026-08-24,התבקשו השלמות - גודל המדגם ההתחלתי,9,3.8,12.3,,,
4096,Dialog,דיאלוג,ידיעות אחרונות,2026-08-17,2026-08-24,,9,4.3,2.0,500.0,,
4099,Kantar,קנטאר ישראל,"עיתון ישראל היום בע""מ, השלושה 2, תל אביב",2026-08-24,2026-08-24,,14,,24.0,550.0,,
4102,Filber,נקסט דאטה,ערוץ 14,2026-08-24,2026-08-25,,15,4.6,,550.0,,
4103,Midgam,מדגם יעוץ ומחקר,חדשות 12,2026-08-24,2026-08-25,,15,,5.0,500.0,,
