4064|knesset_election14|סקר בחירות מיום 11.8.2026.pdf|מדגם יעוץ ומחקר|חדשות 12|2026-08-09|2026-08-10|
4068|knesset_election17|4068-סקר בחירות מיום 13.8.2026.pdf|דיירקט פולס בע"מ|חדשות המזרח התיכון 24 בע"מ|2026-08-05|2026-08-12|
4070|knesset_election21|4070-סקר בחירות מיום 13.8.2026.pdf|שלמה פילבר|ערוץ 14|2026-08-03|2026-08-12|התבקשו השלמות - גודל המדגם ההתחלתי, פירוט אחוזי התמיכה הגולמיים בכל מפלגה כפי שעולה מתשובות הנשאלים לרבות לרשימות שלא עברו את אחוז החסימה (וזאת ללא התאמה כלשהי לאופן חלוקת המנדטים)
4071|knesset_election20|4071-סקר בחירות מיום 13.8.2026.pdf|שלמה פילבר|ערוץ 14|2026-08-09|2026-08-12|התבקשו השלמות - גודל המדגם ההתחלתי, פירוט אחוזי התמיכה הגולמיים בכל מפלגה כפי שעולה מתשובות הנשאלים לרבות לרשימות שלא עברו את אחוז החסימה (וזאת ללא התאמה כלשהי לאופן חלוקת המנדטים)
4072|knesset_election19|4072-סקר בחירות מיום 13.8.2026.pdf|שלמה פילבר|ערוץ 14|2026-07-28|2026-08-12|התבקשו השלמות - גודל המדגם ההתחלתי, פירוט אחוזי התמיכה הגולמיים בכל מפלגה כפי שעולה מתשובות הנשאלים לרבות לרשימות שלא עברו את אחוז החסימה (וזאת ללא התאמה כלשהי לאופן חלוקת המנדטים)
4074|knesset_election16|סקר בחירות מיום 15.8.2026.pdf|טאטיקה מחקרים ומדיה|זמן ישראל|2026-08-11|2026-08-14|
4075|knesset_election15|4075-סקר בחירות מיום 16.8.2026.pdf|ד"ר מנחם לזר|עיתון מעריב|2026-08-11|2026-08-15|
4076|knesset_election18|סקר בחירות מיום 16.8.2026.pdf|דיירקט פולס בע"מ|חדשות המזרח התיכון 24 בע"מ|2026-08-12|2026-08-15|
4077|knesset_election22|4077-סקר בחירות מיום 17.8.2026.pdf|שמואל רוזנר|ערוץ 13|2026-08-10|2026-08-16|התבקשו השלמות - גודל המדגם ההתחלתי, מספר ואחוז האנשים שסירבו או לא התאימו להשתתף בסקר
4079|knesset_election23|סקר בחירות מיום 17.8.2026.pdf|קנטאר ישראל|תאגיד השידור כאן , כנפי נשרים 23, ירושלים|2026-08-12|2026-08-16|
4080|knesset_election24|סקר בחירות מיום 18.8.2026.pdf|מדגם יעוץ ומחקר|חדשות 12|2026-08-16|2026-08-17|
4081|knesset_election25|סקר בחירות מיום 19.8.2026.pdf|דיירקט פולס בע"מ|חדשות המזרח התיכון 24 בע"מ|2026-08-17|2026-08-18|
4085|knesset_election27|4085-סקר בחירות מיום 19.8.2026.pdf|שלמה פילבר|ערוץ 14|2026-08-17|2026-08-18|
4086|knesset_election30|4086-סקר בחירות מיום 20.8.2026.pdf|קנטאר ישראל|תאגיד השידור כאן , כנפי נשרים 23, ירושלים|2026-08-17|2026-08-19|
4088|knesset_election29|4088-סקר בחירות מיום 23.8.2026.pdf|טאטיקה מחקרים ומדיה|זמן ישראל|2026-08-18|2026-08-22|
4089|knesset_election28|4089-2 סקר בחירות מיום 23.8.2026.pdf|מאגר מוחות|ערוץ 16|2026-08-18|2026-08-22|
4090|knesset_election31|מתוקן 4093-4090-סקר בחירות מיום 23.8.2026.pdf|ד"ר מנחם לזר|עיתון מעריב|2026-08-18|2026-08-22|
4091|knesset_election33|4091-סקר בחירות מיום 23.8.2026.pdf|קנטאר ישראל|עיתון ישראל היום בע"מ, השלושה 2, תל אביב|2026-08-18|2026-08-22|
4094|knesset_election34|4094-סקר בחירות מיום 24.8.2026.pdf|שמואל רוזנר|ערוץ 13|2026-08-17|2026-08-23|התבקשו השלמות - גודל המדגם ההתחלתי
4096|knesset_election36|סקר בחירות מיום 24.8.2026 4096.pdf|דיאלוג|ידיעות אחרונות|2026-08-16|2026-08-23|
4099|knesset_election35|סקר בחירות מיום 24.8.2026 4099.pdf|קנטאר ישראל|עיתון ישראל היום בע"מ, השלושה 2, תל אביב|2026-08-23|2026-08-23|
4102|knesset_election37|סקר בחירות מיום 25.8.2026 4102.pdf|נקסט דאטה|ערוץ 14|2026-08-23|2026-08-24|
4103|knesset_election32|סקר בחירות מיום 25.8.2026 4103.pdf|מדגם יעוץ ומחקר|חדשות 12|2026-08-23|2026-08-24|
